ItemID,Frequency
N47061-0,22217
N50872-0,18423
N26262-0,17967
N51048-0,17367
N38779-0,16611
N13907-0,15654
N62360-0,15275
N49180-0,14919
N41020-0,14412
N18870-0,14231
N55689-0,13999
N31978-0,13863
N61623-0,13741
N23446-0,13570
N32544-0,13533
N3344-0,13393
N55204-0,13160
N45523-0,13050
N6056-0,12767
N14592-0,12640
N11817-0,12610
N21420-0,12262
N36226-0,12187
N50675-0,12090
N35729-0,12072
N16096-0,12007
N58363-0,11962
N33619-0,11816
N63538-0,11727
N34876-0,11713
N63970-0,11698
N41172-0,11610
N29212-0,11510
N42961-0,11465
N41387-0,11448
N10960-0,11441
N26376-0,11408
N29128-0,11189
N59673-0,11105
N4642-0,10987
N14184-0,10853
N44698-0,10766
N40109-0,10749
N62386-0,10727
N3841-0,10678
N33848-0,10676
N23877-0,10666
N40839-0,10633
N11830-0,10624
N6477-0,10537
N7319-0,10395
N38215-0,10353
N3123-0,10310
N59981-0,10310
N42634-0,10296
N32182-0,10292
N22417-0,10214
N47098-0,10107
N45509-0,9949
N64734-0,9853
N35233-0,9727
N63550-0,9708
N60272-0,9631
N6099-0,9627
N15855-0,9604
N18708-0,9543
N31679-0,9527
N26130-0,9493
N45266-0,9456
N7618-0,9443
N62894-0,9391
N31947-0,9385
N38783-0,9356
N4754-0,9271
N56214-0,9166
N19318-0,9144
N23547-0,9112
N14029-0,9096
N52622-0,9084
N24686-0,9052
N33831-0,8980
N61022-0,8950
N60105-0,8948
N36789-0,8842
N24176-0,8831
N26179-0,8826
N6837-0,8747
N19592-0,8653
N25165-0,8642
N154-0,8634
N22457-0,8627
N30475-0,8470
N54752-0,8464
N41220-0,8409
N57426-0,8372
N33212-0,8356
N42977-0,8321
N8509-0,8300
N28213-0,8297
N64851-0,8237
N35170-0,8168
N58114-0,8157
N8957-0,8127
N51570-0,8106
N5370-0,8086
N1539-0,8086
N7128-0,7993
N48017-0,7965
N287-0,7891
N62128-0,7819
N15719-0,7764
N35047-0,7757
N30518-0,7631
N35738-0,7607
N60992-0,7605
N44422-0,7597
N51398-0,7592
N17059-0,7567
N27581-0,7527
N50415-0,7455
N34185-0,7434
N55132-0,7359
N4021-0,7350
N1914-0,7317
N60374-0,7280
N27845-0,7280
N64152-0,7247
N33981-0,7211
N49712-0,7176
N41881-0,7160
N48063-0,7155
N59385-0,7154
N53585-0,7073
N39010-0,7066
N53017-0,6984
N2350-0,6970
N19444-0,6969
N56243-0,6954
N56598-0,6916
N4510-0,6876
N29341-0,6851
N48759-0,6823
N36261-0,6815
N56211-0,6807
N58051-0,6766
N38159-0,6717
N62318-0,6628
N6926-0,6602
N21741-0,6554
N23414-0,6528
N32791-0,6511
N39115-0,6483
N20678-0,6481
N33885-0,6476
N47020-0,6465
N55281-0,6464
N59272-0,6461
N64174-0,6416
N9139-0,6389
N61214-0,6379
N26706-0,6376
N41178-0,6367
N18887-0,6360
N34998-0,6341
N21707-0,6275
N19661-0,6271
N43386-0,6270
N13930-0,6254
N3894-0,6225
N20811-0,6212
N23081-0,6180
N59852-0,6179
N4913-0,6177
N50601-0,6175
N56193-0,6128
N7121-0,6116
N42457-0,6101
N33964-0,6064
N40725-0,5969
N13801-0,5955
N27737-0,5952
N54489-0,5942
N24272-0,5937
N57713-0,5930
N2823-0,5914
N9135-0,5838
N39317-0,5827
N14726-0,5814
N53318-0,5790
N13579-0,5770
N60550-0,5769
N26673-0,5766
N45551-0,5763
N35273-0,5711
N33501-0,5705
N15830-0,5687
N57754-0,5684
N57081-0,5662
N27560-0,5621
N61233-0,5615
N16148-0,5608
N60872-0,5605
N4912-0,5591
N53470-0,5588
N6975-0,5581
N12028-0,5575
N5442-0,5562
N28413-0,5524
N25546-0,5519
N17117-0,5489
N36659-0,5464
N7821-0,5463
N46029-0,5444
N20076-0,5406
N55645-0,5379
N33677-0,5369
N36660-0,5365
N5146-0,5324
N9621-0,5280
N1034-0,5272
N59407-0,5246
N31370-0,5227
N43502-0,5207
N59267-0,5182
N42143-0,5158
N23784-0,5150
N55606-0,5150
N46607-0,5116
N3541-0,5108
N279-0,5108
N58660-0,5106
N53515-0,5094
N7328-0,5070
N3930-0,5058
N9623-0,5049
N50469-0,5040
N55275-0,5026
N23184-0,5017
N8061-0,5004
N56227-0,5003
N36712-0,4986
N49483-0,4972
N41934-0,4968
N52122-0,4961
N49685-0,4935
N45428-0,4899
N59088-0,4896
N61145-0,4892
N35937-0,4885
N35172-0,4869
N14780-0,4850
N8084-0,4842
N5364-0,4842
N4936-0,4841
N1644-0,4837
N59436-0,4835
N47981-0,4800
N45616-0,4796
N54482-0,4796
N50389-0,4787
N21342-0,4777
N29468-0,4761
N19542-0,4756
N28188-0,4730
N36545-0,4720
N41122-0,4719
N47149-0,4718
N14436-0,4686
N64513-0,4667
N11363-0,4657
N40318-0,4645
N10754-0,4644
N33872-0,4643
N17069-0,4628
N63106-0,4625
N496-0,4610
N29715-0,4608
N48657-0,4601
N33828-0,4592
N16844-0,4587
N40171-0,4586
N47652-0,4577
N47067-0,4573
N7809-0,4567
N39765-0,4556
N7494-0,4546
N17759-0,4545
N25624-0,4542
N62395-0,4539
N39949-0,4532
N61185-0,4523
N2869-0,4519
N22339-0,4509
N28072-0,4485
N24423-0,4471
N61822-0,4470
N34048-0,4469
N38442-0,4458
N57957-0,4454
N43519-0,4447
N13486-0,4439
N36186-0,4407
N21882-0,4403
N58075-0,4401
N64094-0,4399
N60858-0,4390
N37437-0,4380
N40065-0,4374
N54125-0,4369
N40431-0,4369
N16439-0,4353
N52294-0,4352
N51287-0,4335
N732-0,4327
N4985-0,4322
N8015-0,4320
N55689-1,4316
N47578-0,4309
N21128-0,4298
N46526-0,4286
N22257-0,4285
N21701-0,4276
N41578-0,4261
N64916-0,4259
N42515-0,4256
N48046-0,4252
N22880-0,4250
N43595-0,4237
N37753-0,4233
N61404-0,4232
N8595-0,4222
N42597-0,4206
N21077-0,4202
N26286-0,4201
N57614-0,4170
N5652-0,4160
N47717-0,4157
N32691-0,4152
N60186-0,4142
N57005-0,4113
N41354-0,4111
N22407-0,4092
N16920-0,4092
N18529-0,4085
N5048-0,4084
N54988-0,4071
N20576-0,4069
N31029-0,4068
N64542-0,4064
N49879-0,4060
N58553-0,4058
N61760-0,4057
N48487-0,4054
N62750-0,4030
N64305-0,4028
N7419-0,4011
N36703-0,4011
N36184-0,3995
N43309-0,3994
N25764-0,3990
N15315-0,3987
N11769-0,3980
N30088-0,3979
N30920-0,3976
N5889-0,3974
N29739-0,3969
N25315-0,3966
N49279-0,3959
N51853-0,3959
N47412-0,3954
N12446-0,3948
N37204-0,3946
N30998-0,3943
N57368-0,3941
N22664-0,3939
N50014-0,3937
N46821-0,3927
N32010-0,3920
N47572-0,3917
N4247-0,3911
N36786-0,3905
N12523-0,3892
N43102-0,3874
N42698-0,3865
N52000-0,3845
N37377-0,3838
N32015-0,3831
N13259-0,3822
N30089-0,3805
