ItemID,Frequency
N306,20765
N42620,17918
N31801,15694
N47020,15216
N45794,15200
N43142,14565
N871,14210
N55189,13394
N29177,13243
N16715,13011
N4607,12353
N51706,11737
N46392,11411
N54827,11065
N18870,10591
N59704,10176
N52551,9834
N55743,9809
N41375,9309
N32004,9004
N1150,8836
N27448,8834
N35710,8786
N619,8784
N28088,8466
N16233,8356
N5978,8352
N6233,8203
N61864,8192
N33096,8041
N13138,7998
N8148,7925
N4020,7908
N37509,7768
N60702,7664
N33276,7634
N14761,7497
N10059,7405
N54225,7394
N8448,7379
N35671,7314
N35022,7272
N33969,7239
N61388,7206
N55556,7180
N64273,7012
N22816,6972
N24298,6965
N55846,6896
N28257,6855
N12349,6795
N62058,6793
N15676,6547
N60184,6437
N13137,6430
N39235,6369
N56514,6317
N12907,6228
N32483,6079
N40716,6009
N26026,5986
N48742,5983
N11101,5836
N56753,5819
N36530,5806
N23653,5755
N58641,5715
N11005,5714
N27526,5592
N64467,5532
N40509,5505
N11231,5499
N54536,5468
N58090,5465
N26176,5455
N13374,5415
N33013,5338
N32852,5331
N54842,5290
N40944,5253
N30160,5225
N50710,5199
N46811,5127
N4526,5096
N32312,5059
N48356,5023
N4593,4947
N44399,4947
N36424,4938
N10897,4919
N57737,4900
N20575,4804
N55911,4795
N9803,4775
N53531,4742
N37920,4708
N40442,4706
N20121,4684
N47719,4675
N18285,4672
N45729,4641
N61196,4637
N30353,4594
N60340,4574
N37663,4524
N12096,4506
N8258,4460
N22561,4432
N51692,4424
N9120,4414
N19347,4411
N10865,4370
N6023,4343
N53017,4308
N42458,4301
N60491,4286
N42526,4278
N477,4233
N64554,4232
N38256,4209
N44559,4201
N60212,4198
N38118,4193
N28058,4179
N46795,4177
N9798,4158
N16290,4133
N24591,4093
N13008,4086
N48699,4076
N2203,4074
N20547,4063
N23958,4040
N19495,4040
N45954,4038
N24691,3984
N53895,3980
N26364,3953
N28296,3944
N40640,3942
N33981,3935
N48715,3902
N3491,3894
N52536,3885
N39117,3871
N51089,3856
N6616,3854
N13231,3853
N37942,3841
N53033,3826
N47558,3825
N49745,3804
N37091,3801
N3500,3790
N42726,3757
N49475,3740
N3259,3729
N57318,3713
N14742,3710
N34694,3707
N37811,3696
N6156,3685
N14385,3676
N5283,3647
N38105,3643
N50,3641
N24356,3638
N17050,3596
N54698,3591
N16617,3589
N46513,3585
N11415,3579
N18094,3570
N61319,3552
N22570,3544
N56253,3541
N22161,3537
N56447,3515
N54655,3442
N2735,3436
N53234,3435
N10470,3419
N27644,3409
N62931,3408
N20039,3400
N27154,3392
N44251,3380
N19638,3370
N44361,3359
N42989,3350
N39670,3349
N23614,3348
N49040,3316
N3566,3309
N62714,3292
N62703,3271
N90,3258
N34069,3251
N43955,3230
N21317,3222
N848,3221
N8834,3219
N10559,3175
N38298,3147
N49023,3141
N52555,3128
N10235,3127
N42128,3124
N64408,3105
N16695,3083
N39374,3075
N30662,3075
N37915,3067
N36699,3064
N46978,3059
N59691,3057
N48076,3055
N29857,3055
N18030,3052
N38701,3030
N60844,3029
N57812,3016
N9317,3010
N18360,3009
N55922,3006
N30765,3006
N50032,3002
N46818,2997
N21623,2992
N57886,2991
N61664,2990
N4069,2989
N46039,2971
N23105,2959
N21383,2932
N45994,2930
N14417,2912
N55714,2907
N54469,2907
N22260,2904
N51464,2901
N27919,2900
N30665,2890
N13429,2885
N41797,2866
N30531,2862
N22997,2848
N34287,2841
N41218,2838
N10414,2834
N9653,2834
N12194,2831
N46846,2821
N32109,2820
N18355,2802
N60985,2802
N6218,2797
N8548,2775
N29523,2755
N63688,2752
N47479,2750
N46023,2741
N53049,2733
N55043,2722
N2003,2719
N63062,2711
N42137,2709
N58264,2709
N33976,2699
N44495,2689
N21984,2689
N63411,2687
N28313,2678
N51330,2676
N58232,2674
N41997,2670
N22279,2660
N51983,2653
N14114,2642
N59496,2633
N23571,2632
N64631,2629
N35009,2626
N51591,2622
N57582,2620
N48582,2614
N63302,2613
N59359,2612
N459,2611
N30867,2607
N13081,2598
N51238,2596
N40692,2596
N45535,2586
N40448,2582
N16874,2582
N13925,2574
N12367,2572
N32089,2567
N56586,2565
N1843,2546
N1603,2545
N54625,2544
N56121,2543
N63180,2533
N61249,2529
N719,2528
N54522,2504
N16292,2496
N9226,2493
N29802,2492
N31248,2481
N53052,2469
N60615,2465
N16344,2458
N8549,2456
N40704,2446
N19660,2445
N11020,2444
N43202,2444
N14452,2442
N30698,2432
N62546,2420
N3046,2412
N11804,2402
N31996,2394
N32830,2394
N14349,2390
N51705,2381
N31057,2379
N9056,2357
N30974,2339
N19620,2320
N37250,2318
N5227,2307
N47525,2296
N51076,2295
N56630,2284
N27676,2279
N26642,2276
N44396,2276
N11071,2258
N39041,2252
N56889,2241
N50155,2238
N45999,2213
N19594,2206
N12254,2204
N10078,2202
N39462,2199
N20710,2197
N27612,2192
N59546,2190
N65169,2174
N17966,2172
N7328,2171
N58580,2171
N15253,2170
N60223,2170
N54822,2168
N62853,2164
N6342,2162
N48925,2160
N8331,2157
N24243,2155
N33998,2154
N62940,2149
N63650,2145
N43436,2143
N5379,2141
N56527,2135
N5527,2134
N21019,2112
N61880,2110
N11894,2107
N44867,2103
N52257,2103
N7019,2099
