ItemID,Frequency
N47061-0,22217
N306,20765
N50872-0,18423
N26262-0,17967
N42620,17918
N51048-0,17367
N38779-0,16611
N31801,15694
N13907-0,15654
N62360-0,15275
N47020,15216
N45794,15200
N49180-0,14919
N43142,14565
N41020-0,14412
N18870-0,14231
N871,14210
N55689-0,13999
N31978-0,13863
N61623-0,13741
N23446-0,13570
N32544-0,13533
N55189,13394
N3344-0,13393
N29177,13243
N55204-0,13160
N45523-0,13050
N16715,13011
N6056-0,12767
N14592-0,12640
N11817-0,12610
N4607,12353
N21420-0,12262
N36226-0,12187
N50675-0,12090
N35729-0,12072
N16096-0,12007
N58363-0,11962
N33619-0,11816
N51706,11737
N63538-0,11727
N34876-0,11713
N63970-0,11698
N41172-0,11610
N29212-0,11510
N42961-0,11465
N41387-0,11448
N10960-0,11441
N46392,11411
N26376-0,11408
N29128-0,11189
N59673-0,11105
N54827,11065
N4642-0,10987
N14184-0,10853
N44698-0,10766
N40109-0,10749
N62386-0,10727
N3841-0,10678
N33848-0,10676
N23877-0,10666
N40839-0,10633
N11830-0,10624
N18870,10591
N6477-0,10537
N7319-0,10395
N38215-0,10353
N59981-0,10310
N3123-0,10310
N42634-0,10296
N32182-0,10292
N22417-0,10214
N59704,10176
N47098-0,10107
N45509-0,9949
N64734-0,9853
N52551,9834
N55743,9809
N35233-0,9727
N63550-0,9708
N60272-0,9631
N6099-0,9627
N15855-0,9604
N18708-0,9543
N31679-0,9527
N26130-0,9493
N45266-0,9456
N7618-0,9443
N62894-0,9391
N31947-0,9385
N38783-0,9356
N41375,9309
N4754-0,9271
N56214-0,9166
N19318-0,9144
N23547-0,9112
N14029-0,9096
N52622-0,9084
N24686-0,9052
N32004,9004
N33831-0,8980
N61022-0,8950
N60105-0,8948
N36789-0,8842
N1150,8836
N27448,8834
N24176-0,8831
N26179-0,8826
N35710,8786
N619,8784
N6837-0,8747
N19592-0,8653
N25165-0,8642
N154-0,8634
N22457-0,8627
N30475-0,8470
N28088,8466
N54752-0,8464
N41220-0,8409
N57426-0,8372
N16233,8356
N33212-0,8356
N5978,8352
N42977-0,8321
N8509-0,8300
N28213-0,8297
N64851-0,8237
N6233,8203
N61864,8192
N35170-0,8168
N58114-0,8157
N8957-0,8127
N51570-0,8106
N5370-0,8086
N1539-0,8086
N33096,8041
N13138,7998
N7128-0,7993
N48017-0,7965
N8148,7925
N4020,7908
N287-0,7891
N62128-0,7819
N37509,7768
N15719-0,7764
N35047-0,7757
N60702,7664
N33276,7634
N30518-0,7631
N35738-0,7607
N60992-0,7605
N44422-0,7597
N51398-0,7592
N17059-0,7567
N27581-0,7527
N14761,7497
N50415-0,7455
N34185-0,7434
N10059,7405
N54225,7394
N8448,7379
N55132-0,7359
N4021-0,7350
N1914-0,7317
N35671,7314
N27845-0,7280
N60374-0,7280
N35022,7272
N64152-0,7247
N33969,7239
N33981-0,7211
N61388,7206
N55556,7180
N49712-0,7176
N41881-0,7160
N48063-0,7155
N59385-0,7154
N53585-0,7073
N39010-0,7066
N64273,7012
N53017-0,6984
N22816,6972
N2350-0,6970
N19444-0,6969
N24298,6965
N56243-0,6954
N56598-0,6916
N55846,6896
N4510-0,6876
N28257,6855
N29341-0,6851
N48759-0,6823
N36261-0,6815
N56211-0,6807
N12349,6795
N62058,6793
N58051-0,6766
N38159-0,6717
N62318-0,6628
N6926-0,6602
N21741-0,6554
N15676,6547
N23414-0,6528
N32791-0,6511
N39115-0,6483
N20678-0,6481
N33885-0,6476
N47020-0,6465
N55281-0,6464
N59272-0,6461
N60184,6437
N13137,6430
N64174-0,6416
N9139-0,6389
N61214-0,6379
N26706-0,6376
N39235,6369
N41178-0,6367
